NAME_LATIN,Year,age
D. SALAMINOS (NHSOS)_1,2019.0,41.0
D. SAMOURAKHS,2019.0,51.0
D. SAPVN,2018.0,60.0
D. SERRVN,2019.0,42.0
D. SHTEIAS_5,2019.0,49.0
D. SIATISTHS,2019.0,61.0
D. SIDHROKASTROY_1,2019.0,61.0
D. SIKYVNOS (KIATOY),2019.0,41.0
D. SINDOY,2019.0,40.0
D. SKIAUOY (EDRA EPI THS OMVNYMOY NHSOY)_3,2019.0,58.0
D. SKOPELOY (EPI THS OMVNYMOY NHSOY)_1,2019.0,54.0
D. SKYDRAS_1,2019.0,39.0
D. SKYROY (NHSOS)_21,2019.0,60.0
D. SOFADVN,2019.0,61.0
D. SOXOY,2019.0,42.0
D. SOYDAS_1,2019.0,55.0
D. SPARTIATVN,2019.0,51.0
D. SPATVN LOYTSAS,2019.0,35.0
D. SPERXEIADOS,2019.0,40.0
D. SPETSVN (NHSOS)_2,2019.0,37.0
D. STAYROYPOLEVS_1,2019.0,36.0
D. STYLIDOS,2019.0,54.0
D. SYKEVN_1,2019.0,44.0
D. SYKEVN_2,2019.0,38.0
D. SYMHS (NHSOS)_5,2019.0,59.0
D. TAYROY,2019.0,37.0
D. TRIANDRIAS,2019.0,35.0
D. TRIKKAIVN,2019.0,51.0
D. TRIPOLEVS_2,2019.0,47.0
D. TYRNABOY_2,2018.0,45.0
D. TYXEROY,2019.0,41.0
D. UASOY_2,2019.0,46.0
D. UESSALONIKHS,2019.0,36.0
D. UHBAIVN,2019.0,35.0
D. XAIDARIOY,2019.0,38.0
D. XALANDRIOY,2019.0,40.0
D. XALASTRAS (PYRGOY)_1,2019.0,61.0
D. XALKHS (NHSOS)_7,2018.0,60.0
D. XALKIDEVN,2019.0,44.0
D. XANIVN,2019.0,49.0
D. XIOY (EPI THS OMVNYMOY NHSOY),2019.0,54.0
D. XOLARGOY,2019.0,32.0
D. XRYSOYPOLEVS,2019.0,44.0
D. XVRAS,2019.0,13.0
D. YDRAS_1,2019.0,51.0
D. YMHTTOY,2019.0,53.0
D. ZEFYRIOY,2019.0,47.0
D. ZVGRAFOY,2019.0,38.0
K. ABDHRVN,2019.0,56.0
K. ABIAS,2019.0,30.0
K. ADRIANHS_2,2019.0,21.0
K. AFIDNVN,2019.0,52.0
K. AGIAS ANNHS_2,2019.0,60.0
K. AGIAS PARASKEYHS_14,2019.0,28.0
K. AGIAS SOFIAS_1,2019.0,29.0
K. AGIAS_2,2019.0,60.0
K. AGIAS_4,2019.0,58.0
K. AGIOY ADRIANOY,2019.0,60.0
K. AGIOY AUANASIOY_3,2019.0,38.0
K. AGIOY AUANASIOY_4,2019.0,41.0
K. AGIOY AUANASIOY_5,2019.0,33.0
K. AGIOY BASILEIOY_3,2019.0,42.0
K. AGIOY DHMHTRIOY_11,2019.0,16.0
K. AGIOY IVANNOY_1,2019.0,61.0
K. AGIOY KVNSTANTINOY_1,2019.0,56.0
K. AGIOY KVNSTANTINOY_3,2019.0,20.0
K. AGIOY MYRVNOS,2018.0,51.0
K. AGIOY NIKOLAOY_3,2019.0,46.0
K. AGIOY STEFANOY_1,2019.0,50.0
K. AGIOY STEFANOY_3,2019.0,46.0
K. AGIOY STEFANOY_4,2019.0,49.0
K. AGIOY SYLLA,2019.0,51.0
K. AGIVN UEODVRVN_1,2018.0,26.0
K. AGIVN UEODVRVN_4,2018.0,8.0
K. AGIVRGITIKVN,2019.0,40.0
K. AGKISTRIOY (NHSOS)_2,2019.0,36.0
K. AGKISTROY,2019.0,31.0
K. AGNANTVN_2,2019.0,31.0
K. AGRIAS,2019.0,46.0
K. AGRILIAS_1,2019.0,61.0
K. AIGANHS,2019.0,57.0
K. AIGEIRAS,2019.0,42.0
K. AIGIALHS (NHSOS AMORGOS),2019.0,62.0
K. AKOYMIVN,2019.0,57.0
K. ALFEIOYSHS,2018.0,36.0
